WORD,WORD_LOWER,WORD_CLASS,EMO_MEAN,EMO_STD,AROUSAL_MEAN,AROUSAL_STD,IMAGE_MEAN,IMAGE_STD,LETTERS,PHONEMES,SYLLABLES,Ftot/1MIL,N,FN,HFN,FHFN,BIGmean(TOKEN),ACCENT
ESSIG,essig,N,-0.25,1.01954582,2.611111111,1.377930626,4.81818182,1.68003298,5,4,2,1.833333333,2,8.5,2,8.5,129182.75,1
ETHIK,ethik,N,0.9,1.07115285,3.238095238,1.135991281,1.72727273,0.70250017,5,4,2,3.166666667,0,0,0,0,41284.25,1
EULE,eule,N,0.64,1.56,2.09,1.15,6,1.27,4,3,2,1.5,4,13.5,2,12.5,80869,1
EUPHORIE,euphorie,N,1.4,1.264911064,3.777777778,0.732084498,4.333333333,1.118033989,8,5,3,1.166666667,0,0,0,0,84602.71429,3
EUTER,euter,N,-0.25,1.01954582,2.368421053,0.955133866,5.27272727,1.48586413,5,4,2,1.333333333,4,85.5,1,84.17,467299.75,1
EWIGKEIT,ewigkeit,N,1.5,1.354006401,2.222222222,1.262842525,1.777777778,1.394433378,8,7,3,13.33333333,0,0,0,0,164646.8571,1
EXISTENZ,existenz,N,1.6,1.349897115,3.222222222,1.165966176,2,0.866025404,8,9,3,55,1,2.67,0,0,245133,3
FABEL,fabel,N,1.45,0.88704121,2.052631579,0.621260744,3.68181818,1.91202619,5,5,2,4.833333333,4,19.5,1,11.5,167884,1
FABRIK,fabrik,N,-0.7,1.21828179,2.285714286,1.146423008,5.18181818,1.78982212,6,6,2,33.66666667,0,0,0,0,61796.8,2
FÄCHER,fächer,N,0.68,1.21,2.14,0.94,4.77,1.97,6,5,2,4.83,1,1,0,0,825595.6667,1
FADEN,faden,N,0.2,0.52314836,1.8,0.767771896,4.81818182,1.53177033,5,5,2,16,3,261.67,2,251.17,507789.25,1
FÄHIGKEIT,fähigkeit,N,1.617647059,0.888127273,3,1.183215957,2.115384615,1.275207374,9,7,3,37.33333333,0,50,0,0,177719,1
FAHNDUNG,fahndung,N,-1.1,1.100504935,3.333333333,1.028991511,4.111111111,0.78173596,8,6,2,1.666666667,0,0,0,0,152996.8571,1
FAHNE,fahne,N,-0.2,0.95145318,2,0.917662935,5.54545455,1.40500035,5,4,2,27.66666667,1,5.5,0,0,78212,1
FAHREN,fahren,V,0.970588235,0.999554268,2.619047619,1.321975434,5.576923077,1.604321088,6,5,2,480.6666667,3,510.17,0,0,295021.4,1
FAHRER,fahrer,N,0.55,0.99868334,2.473684211,1.172292202,4,1.38013112,6,5,2,57.5,2,548.83,2,548.83,385690,1
FAHRRAD,fahrrad,N,1.55,1.06,3,1.23,6.5,0.86,7,6,2,17.83,0,0,0,0,59553,1
FAHRT,fahrt,N,0.941176471,1.126570997,2.368421053,0.895080773,5.423076923,1.579191614,5,4,1,64,0,0,0,0,70208,1
FALL,fall,N,-1.090909091,1.100103301,2.833333333,0.985184366,3.653846154,2.243966269,4,3,1,376,7,132.83,0,0,108576.3333,1
FALLE,falle,N,-1.7,0.65694669,4,0.866025404,3.95454545,1.75871362,5,4,2,33.16666667,7,134.17,2,87.17,123464.25,1
FALLEN,fallen,V,-1.058823529,1.126570997,2.578947368,1.261207071,4.846153846,1.911906016,6,5,2,278,7,109.67,0,0,305614.6,1
FÄLLEN,fällen,V,-0.705882353,1.168511401,2.095238095,1.04425868,4.038461538,1.907475174,6,5,2,54.33333333,2,321,1,278,442279,1
FALTE,falte,N,-0.45,0.99868334,2,0.866025404,4.81818182,1.50036071,5,5,2,4.833333333,4,40.33,2,39.17,129530.75,1
FAMILIE,familie,N,1.8,1.549193338,2.277777778,1.227410261,5.888888889,1.054092553,7,7,4,119,0,0,0,0,118117.8333,2
FANGEN,fangen,V,-0.529411765,1.440439624,2.964285714,1.170063083,4.923076923,1.622912861,6,5,2,71.16666667,2,151.5,1,146.33,363177,1
FANTASIE,fantasie,N,2.4,0.516397779,2.888888889,1.278274981,3.333333333,1.732050808,8,7,3,1,0,0,0,0,137349.5714,3
FARBE,farbe,N,1.6,1.04629673,2.210526316,1.272746259,4.13636364,2.05392666,5,5,2,67.66666667,4,12.33,0,0,135378.5,1
FASAN,fasan,N,1,0.97332853,2.05,1.099042646,5.22727273,1.65994315,5,5,2,0.666666667,1,190.83,1,190.83,94657.5,2
FASCHING,fasching,N,0,1.154700538,2.777777778,1.060274967,5.888888889,0.78173596,8,5,2,2.333333333,0,0,0,0,271472.4286,1
FASCHISMUS,faschismus,N,-2.735294118,0.665551652,4,1.201850425,4.307692308,1.934305679,10,8,3,30.16666667,0,0,0,0,155677.7778,2
FASSADE,fassade,N,-0.2,1.032795559,2.222222222,0.942809042,4.888888889,1.900292375,7,6,3,11.33333333,0,0,0,0,195231.8333,2
FASSEN,fassen,V,0.058823529,1.099343509,2.052631579,0.970319776,3.230769231,1.795721411,6,5,2,109.5,6,999.17,1,929.5,305083,1
FAUST,faust,N,-0.823529412,1.381053358,3.210526316,1.228320776,6.461538462,0.947872111,5,4,1,36.33333333,0,0,0,0,144637.5,1
FEDER,feder,N,1.3,0.86450473,1.666666667,0.84016805,5.77272727,1.06600358,5,5,2,18.83333333,7,1241.17,3,1214.83,636843.5,1
FEE,fee,N,2.3,0.674948558,2.444444444,1.247219129,6.222222222,0.666666667,3,2,1,2.166666667,4,88.33,3,88.33,39289.5,1
FEHDE,fehde,N,-1.45,0.94451324,3.222222222,1.114374293,2.63636364,1.70560573,5,4,2,1.833333333,0,0,0,0,277050,1
FEHLEN,fehlen,V,-1.529411765,0.895622151,2.866666667,1.252124631,3.230769231,1.58259767,6,5,2,126,5,203.33,1,143.17,285025.2,1
FEHLER,fehler,N,-1.6,1.04629673,3.19047619,0.872871561,2.5,1.47196014,6,5,2,56.83333333,3,127.5,1,126,375693.8,1
FEIER,feier,N,2.1,0.64072328,3.4375,1.093541647,5.13636364,1.45718105,5,4,2,10.83333333,7,88,2,72.83,619575.5,1
FEIERN,feiern,V,2.088235294,0.792680419,3.277777778,0.95828005,6.038461538,1.148242805,6,5,2,65,3,10.33,0,0,505837.2,1
FEIERTAG,feiertag,N,1.9,0.875595036,1.941176471,0.658652814,3,1.118033989,8,7,3,10.83333333,0,0,0,0,384511.5714,1
FEIGLING,feigling,N,-1.8,0.788810638,3.352941176,0.996316746,3.222222222,1.787300882,8,6,2,2.666666667,0,0,0,0,252714,1
FEILE,feile,N,0.2,0.52314836,2.421052632,0.901590537,4.90909091,1.68774549,5,4,2,0.833333333,5,65.67,4,65.67,229767,1
FEIND,feind,N,-2.147058824,1.048298851,4.15,0.988086934,3.576923077,1.836803243,5,4,1,50,0,0,0,0,397983.25,1
FENSTER,fenster,N,1.14,0.99,1.91,0.81,6.14,0.99,7,7,2,89,1,10.5,0,0,527870.8333,1
FERIEN,ferien,N,2.6,0.516397779,2.294117647,1.212678125,4.444444444,1.740051085,6,6,3,20.5,0,0,0,0,595790,1
FERNROHR,fernrohr,N,0.77,1.07,2.41,1.14,5.77,1.48,8,7,2,2.33,0,0,0,0,256408.7143,1
FERNSEHEN,fernsehen,N,0.205882353,1.430816926,2.3,0.987857312,6.423076923,0.902134222,9,8,3,89,0,50,0,0,421644.125,1
FERSE,ferse,N,0.2,0.61558701,2.125,0.885061203,4.86363636,1.78072897,5,5,2,1.833333333,2,4.33,1,2.5,489601,1
FESSEL,fessel,N,-1.3,1.30182059,4.05,0.887041208,4.54545455,1.50324325,6,5,2,5.666666667,3,22.67,2,22.33,157660.2,1
FEST,fest,N,1.852941176,0.857492926,2.888888889,1.3234931,5.653846154,1.573335506,4,4,1,365.5,8,511.33,0,0,156193.6667,1
FESTLEGEN,festlegen,V,-0.441176471,1.133275662,2.368421053,1.164785451,1.730769231,1.002305036,9,9,3,55.5,0,0,0,0,260546.125,1
FESTTAG,festtag,N,2,0.816496581,2.75,0.930949336,3.333333333,1.414213562,7,7,2,9.166666667,1,0,0,0,107626.8333,1
FESTUNG,festung,N,0.1,0.875595036,3.411764706,0.618346942,6.333333333,0.866025404,7,6,2,13.83333333,0,0,0,0,181568.1667,1
FETT,fett,N,-1.5,1.08,3.5,0.985184366,5.44,1.13,4,3,1,29.33333333,7,3116,4,2052,63315.66667,1
FEUCHT,feucht,A,-0.4,1.17,3.45,0.944513241,4.89,1.27,6,4,1,11,2,384,2,239,213073.4,1
FEUER,feuer,N,0.05,1.57195822,3.722222222,0.826442095,6.31818182,0.83872713,5,4,2,54,5,99.83,1,67.5,410176.25,1
FEURIG,feurig,A,0.9,1.1,4.157894737,0.688247202,4.33,1.5,6,5,2,3.833333333,1,1,0,0,80195.2,1
FIBEL,fibel,N,0.4,0.516397779,1.947368421,0.848114524,5,1.936491673,5,5,2,2,4,21,3,21,134902,1
FICHTE,fichte,N,0.85,0.98808693,1.761904762,1.220850601,5.63636364,1.76055875,6,5,2,0.666666667,3,9.17,2,9.17,294085,1
FIEBER,fieber,N,-1.8,1.00524938,3.7,0.864504726,4.04545455,1.78558441,6,5,2,6.666666667,2,43.5,1,43.5,444368.8,1
FIGUR,figur,N,0.35,1.18210339,2.526315789,1.123902974,4.31818182,1.58524036,5,5,2,42.5,0,0,0,0,54286.25,2
FILM,film,N,1.5,0.971825316,2.611111111,0.697802339,5.888888889,1.054092553,4,4,1,134.3333333,1,0.5,0,0,24194.33333,1
FILMSTAR,filmstar,N,1,0.816496581,3.111111111,1.131832917,5.444444444,0.527046277,8,8,2,3.333333333,0,0,0,0,66493.42857,1
FILTER,filter,N,0.1,0.55250625,2.176470588,0.95100566,4.40909091,1.56324117,6,6,2,5,2,5.33,0,0,374878.4,1
FINALE,finale,N,0.9,0.994428926,3.523809524,1.209092537,3.333333333,1.414213562,6,6,3,19.83333333,0,0,0,0,198443.8,2
FINDEN,finden,V,1.352941176,0.94971616,2.526315789,1.123902974,4.115384615,1.904246267,6,6,2,781.1666667,4,62.33,0,0,576318.6,1
FINDER,finder,N,0.75,1.06992376,1.894736842,1.048530021,2.27272727,1.60895761,6,6,2,1.166666667,6,863.33,4,863.33,666987.2,1
FINGER,finger,N,0.7,0.80131471,2.105263158,1.149624907,5.90909091,1.37699088,6,5,2,59.83333333,3,1.5,0,0,515970.6,1
FIRMA,firma,N,0.25,1.06992376,2.444444444,0.783823376,3.86363636,1.69861161,5,5,2,125.5,0,0,0,0,40839.25,1
FISCH,fisch,N,0.36,1.65,2.36,1.22,5.86,1.46,5,3,1,33.83,3,100.83,1,99.83,291551,1
FLAGGE,flagge,N,0.59,1.3,2.5,1.3,5.73,1.45,6,5,2,12.67,1,0.83,0,0,96476.4,1
FLAMINGO,flamingo,N,1,1.31,2.68,1.17,5.77,1.41,8,8,3,2.17,0,0,0,0,145452.1429,2
FLAMME,flamme,N,0.6,1.50087694,3.315789474,1.293257368,6.18181818,1.09702471,6,5,2,17.66666667,0,0,0,0,65240.4,1
FLASCHE,flasche,N,0.45,0.96,1.95,0.92,5.91,1.34,7,5,2,36,0,0,0,0,228445.5,1
FLAUTE,flaute,N,-1.05,0.94451324,2.111111111,0.832352364,3.13636364,1.80727247,6,5,2,2,1,0.17,0,0,129321,1
FLEGEL,flegel,N,-0.9,1.02083557,2.368421053,1.164785451,3.13636364,1.75378379,6,6,2,0.5,1,28.17,1,28.17,141875.2,1
FLEISCH,fleisch,N,-0.441176471,1.580011056,3.055555556,0.725357699,6.307692308,1.123182292,7,4,1,34.66666667,0,0,0,0,326365.8333,1
FLEXIBEL,flexibel,A,1.7,0.82,2.444444444,1.096637761,3,1.66,8,9,3,6.333333333,0,0,0,0,101452.2857,2
FLIEGE,fliege,N,-0.95,1.09904265,2.157894737,1.167293065,6.13636364,1.16682126,6,5,2,14.5,1,5,0,0,171849.8,1
FLIEGEN,fliegen,V,1.676470588,1.364497648,3.523809524,1.123345344,6.269230769,0.96156923,7,6,2,104.8333333,4,59.83,0,0,315577.5,1
FLIEßEN,fließen,V,0.911764706,0.933148696,2.047619048,0.973457265,4.576923077,1.814895632,7,6,2,31.83333333,3,127.67,1,104.83,256778.1667,1
FLIRT,flirt,N,1.7,0.674948558,4.368421053,0.683985568,4.888888889,1.763834207,5,5,1,2.5,1,0.67,0,0,75522.25,1
FLOß,floß,N,0.68,1.36,3,1.2,5.36,1.5,4,4,1,7.17,5,165.17,2,162.33,30542.25,1
FLÖTE,flöte,N,0.5,1.65,2.27,1.08,5.41,1.79,5,5,2,4.67,0,0,0,0,141363.5,1
FLUCH,fluch,N,-2.1,0.737864787,3.65,1.136708082,2.666666667,1.658312395,5,4,1,6.333333333,1,32.33,1,32.33,215186.5,1
FLUCHT,flucht,N,-1.529411765,1.284766082,3.888888889,0.676399542,5.307692308,1.40767129,6,5,1,39.83333333,2,35.17,0,0,195295.2,1
FLÜCHTLING,flüchtling,N,-1.205882353,1.430816926,3.210526316,1.134261746,5.576923077,1.501281504,10,8,2,31.66666667,0,0,0,0,265136.8571,1
FLUGHAFEN,flughafen,N,0.848484848,1.416889466,3.476190476,1.289148852,6.769230769,0.651625187,9,9,3,31,0,0,0,0,168218.75,1
FLUGZEUG,flugzeug,N,0.5,1.354006401,3.333333333,1.197219,6.846153846,0.367946484,8,7,2,74.33333333,0,0,0,0,29996.14286,1
FLUT,flut,N,-0.8,0.918936583,3.619047619,0.804747816,6.222222222,0.833333333,4,4,1,14,5,135.5,3,119.5,31373.66667,1
FOHLEN,fohlen,N,1.4,1.14248114,2.368421053,1.256561725,5.54545455,1.40500035,6,5,2,0.833333333,5,269.83,2,269.17,260334.6,1
FÖHN,föhn,N,0.41,1.22,2.27,0.88,5.95,1.05,4,3,1,1.5,0,0,0,0,34912,1
FOLGE,folge,N,-0.15,0.58714295,2.6,0.994722918,2.45454545,1.53459387,5,5,2,164.5,2,5.33,0,0,106671.5,1
FOLTER,folter,N,-2.8,0.52314836,4.684210526,0.582392725,4.22727273,1.60154147,6,6,2,2.5,2,7.83,2,7.83,381626.6,1
FOLTERN,foltern,V,-2.8,0.42,4.444444444,0.855585264,5.33,1,7,7,2,2.5,3,67,3,39,326502.8333,1
FORDERN,fordern,V,-0.882352941,1.037616905,2.736842105,1.326738074,2.615384615,1.471785938,7,7,2,275.3333333,1,66.17,0,0,450245.5,1
FÖRDERN,fördern,V,1.441176471,0.704581392,2.142857143,0.970463261,2.48,1.228820573,7,7,2,66.16666667,1,275.33,1,275.33,642351.5,1
FORDERUNG,forderung,N,-0.852941176,1.158168694,2.952380952,1.023532631,2.846153846,1.405483766,9,8,3,195.3333333,0,52,1,52,411229,1
FÖRDERUNG,förderung,N,1.147058824,1.158168694,2.523809524,1.123345344,2.730769231,1.457606046,9,8,3,40.83333333,0,49,0,0,526294.1667,1
FORM,form,N,0.352941176,0.848612163,2.222222222,0.808452083,4.153846154,1.848075923,4,4,1,226,3,122.17,0,0,50671.33333,1
FORSCH,forsch,A,-0.2,1.14,3.25,0.850696309,3.11,1.62,6,4,1,3.666666667,2,15,1,13,241314.4,1
FORSCHER,forscher,N,1.088235294,0.965076447,2.666666667,0.9701425,4.807692308,1.523659562,8,6,2,42.66666667,1,7.33,0,0,416764.7143,1
FORSCHUNG,forschung,N,1.058823529,0.982920092,2.80952381,1.030487633,4.08,1.630950643,9,6,2,99,0,0,0,0,225595.25,1
FORTSETZEN,fortsetzen,V,0.852941176,0.702046918,2.333333333,1.016530045,2.230769231,1.557117653,10,9,3,55,0,0,0,0,202375.4444,1
FORTUNA,fortuna,N,2.2,1.032795559,2.666666667,1.084652289,3.222222222,2.166666667,7,7,3,15.16666667,0,0,0,0,118477.1667,2
FOTO,foto,N,0.9,0.875595036,3.263157895,1.240165995,5.777777778,1.56347192,4,4,2,154.5,1,8.83,0,0,23507.33333,1
FRACHT,fracht,N,0.3,0.483045892,2.6,1.095445115,5,1.658312395,6,5,1,5.666666667,4,35.5,1,24.17,219711.8,1
FRAGE,frage,N,0.15,1.26802789,2.333333333,1.028991511,2.68181818,1.64422115,5,5,2,892.3333333,2,9,0,0,133802.25,1
FRAGEN,fragen,V,0.676470588,1.120621803,2.380952381,0.920662287,3.038461538,1.865063414,6,6,2,410.1666667,3,336.5,0,0,313885,1
FRAKTION,fraktion,N,-0.764705882,0.923065497,2.263157895,0.87191394,3.076923077,2.189485363,8,8,3,53.5,1,0,0,0,69502.85714,3
FRAU,frau,N,1.4,1.173787791,2.5,0.923548145,6.555555556,0.726483157,4,3,1,709,3,33.83,0,0,126359,1
FRÄULEIN,fräulein,N,-0.352941176,1.77324139,3,1.137592918,4.115384615,1.904246267,8,6,2,43.33333333,0,0,0,0,285188.4,1
FRAULICH,fraulich,A,1.5,1.08,2.5,0.985184366,5.22,1.48,8,6,2,1.333333333,2,78,2,73,232889.2857,1
FREIER,freier,N,-1.1,1.51830931,3.444444444,0.855585264,3.36363636,1.32899728,6,5,2,3.833333333,1,88.83,1,88.83,536863.8,1
FREIHEIT,freiheit,N,2.8,0.421637021,4,0.816496581,2.888888889,1.452966315,8,6,2,226.5,1,16.83,0,0,285081.8571,1
FREITOD,freitod,N,-2,1.154700538,3.777777778,1.352799083,4.777777778,1.56347192,7,6,2,2.666666667,0,0,0,0,193847.6667,1
FREIZEIT,freizeit,N,2.4,0.516397779,2.882352941,0.927520414,3,1.118033989,8,6,2,16.83333333,1,226.5,1,226.5,260146.8571,1
FREUDE,freude,N,2.7,0.57124057,3.411764706,1.325651893,4.27272727,1.54863437,6,5,2,86.33333333,0,0,0,0,255526.6,1
FREUDIG,freudig,A,1.9,0.74,2.944444444,0.937595311,4.33,1.58,7,6,2,9.833333333,0,0,0,0,87812,1
FREUDLOS,freudlos,A,-2.2,0.79,2.368421053,1.605910137,3.56,1.88,8,7,2,0.666666667,0,0,0,0,55837.71429,1
FREUEN,freuen,V,2.205882353,0.880062386,3.107142857,1.39680285,5.384615385,1.601921923,6,5,2,52.33333333,1,88.83,1,88.83,278675.8,1
FREUND,freund,N,2.558823529,0.612554338,2.052631579,1.129094239,6.038461538,1.182565659,6,5,1,206.1666667,0,0,0,0,209151.8,1
FREVEL,frevel,N,-1.7,0.92338052,3.444444444,0.921777198,1.86363636,1.24577207,6,6,2,1.333333333,0,0,0,0,103410.2,1
FRIEDE,friede,N,2.4,1.04629673,1.4,0.940324692,3.90909091,1.99783433,6,5,2,107.6666667,1,2,0,0,283830.4,1
FRIEDEN,frieden,N,2.529411765,0.70647628,1.611111111,1.195033295,4.730769231,1.845159989,7,6,2,186,1,10.5,0,0,408894.6667,1
FRIEDHOF,friedhof,N,-1.6,1.0749677,3.166666667,1.200490096,6.444444444,0.881917104,8,7,2,40.83333333,0,0,0,0,75220,1
FRIST,frist,N,-1.2,1.032795559,3.19047619,1.077916862,2.333333333,1.118033989,5,5,1,19.16666667,3,14.83,0,0,127598,1
FRISUR,frisur,N,0.75,0.91046547,2.714285714,1.10194633,5.09090909,1.10879991,6,6,2,2.333333333,1,0.33,0,0,75200.2,2
FROH,froh,A,1.8,0.63,2.277777778,1.074055292,3.78,1.39,4,3,1,45.5,3,1515,2,1503,37648.33333,1
FROMM,fromm,A,0.4,0.7,2.3,1.128576187,4,1.41,5,4,1,15.33333333,0,0,0,0,44659.25,1
FRONT,front,N,-1.647058824,1.203085753,3.5,1.150447483,3.923076923,2.096150318,5,5,1,84.33333333,1,12.83,0,0,87238.5,1
FROSCH,frosch,N,-0.09,1.54,2.82,1.1,6.05,1.13,6,4,1,4,1,51.83,1,51.83,222114.8,1
FRÜHJAHR,frühjahr,N,2.029411765,1.14111307,2.444444444,1.199128224,5.192307692,1.83344988,8,6,2,34.5,0,0,0,0,48717.4,1
FUCHS,fuchs,N,-0.18,1.62,3.5,1.1,6.09,0.92,5,4,1,7.67,3,1.33,0,0,209204.25,1
FÜHLEN,fühlen,V,2,1.044465936,3.473684211,1.348596845,3.346153846,1.896149945,6,5,2,143.1666667,7,605.67,1,419.67,418395.3333,1
FÜHRER,führer,N,-2.176470588,0.968303366,3.888888889,0.963381843,5.307692308,1.871239819,6,5,2,68.16666667,3,478.17,1,419.67,610938,1
FÜHRUNG,führung,N,-0.470588235,1.353677239,2.444444444,0.855585264,4,1.64924225,7,5,2,103.1666667,2,9.5,0,0,187814.5,1
FÜLLEN,füllen,V,0.529411765,0.825182959,2.107142857,0.994029797,4.115384615,1.966253759,6,5,2,43,5,482.17,3,475.5,442279,1
FÜLLER,füller,N,0.73,1.08,2.32,1.13,5.77,1.38,6,5,2,0,3,71.67,3,71.67,593393.3333,1
FUND,fund,N,1,0.666666667,2.666666667,0.9701425,3.444444444,1.509230856,4,4,1,18.66666667,10,538.83,4,505.5,238442.3333,1
FUNKE,funke,N,0.65,1.08942283,3.105263158,1.196974744,4.59090909,1.29684933,5,5,2,2.833333333,1,0,0,0,123016.25,1
FUNKTIONÄR,funktionär,N,-1.411764706,1.157783856,2.210526316,1.134261746,3,1.897366596,10,10,4,37.66666667,0,0,0,0,106652.4286,4
FURCHT,furcht,N,-2.2,0.788810638,4.421052632,0.606976979,4.333333333,1.224744871,6,5,1,22.83333333,1,3.17,0,0,196142.4,1
FÜRCHTEN,fürchten,V,-1.647058824,1.345753207,3.857142857,1.078898125,4.384615385,1.576754212,8,7,2,57.66666667,0,0,0,0,441794.6,1
FUSION,fusion,N,0.8,0.788810638,2.571428571,0.978336781,2.777777778,1.986062548,6,6,3,10.33333333,0,0,0,0,86003,3
FUTTER,futter,N,0.85,0.8127277,2.368421053,0.955133866,4.77272727,1.23179382,6,5,2,13,2,218.5,2,218.5,370496.2,1
GABEL,gabel,N,0.3,1.08093527,2.111111111,0.963381843,5.77272727,1.57152695,5,5,2,4.333333333,3,18,2,16.33,164596,1
GALGEN,galgen,N,-2.2,0.89442719,4.117647059,0.857492926,5.68181818,1.58524036,6,6,2,4.166666667,2,0.33,0,0,309059.8,1
GALLE,galle,N,-1.6,0.99472292,2.823529412,1.185078801,2.63636364,1.465328,5,4,2,6,2,70.33,2,70.33,120176.25,1
GANOVE,ganove,N,-1.4,0.699205899,3.65,0.87509398,5.222222222,1.092906421,6,6,3,0.5,0,0,0,0,78745.8,2
GANS,gans,N,0.19,1.4,2.86,1.15,5.95,1.43,4,4,1,3.5,3,1517.33,3,1517.33,117019,1
GARAUS,garaus,N,-1.75,1.01954582,3.333333333,1.137592918,1.90909091,1.37699088,6,5,2,1.333333333,1,96.17,1,96.17,110650,1
GARTEN,garten,N,1.8,0.69585237,1.611111111,0.607684989,5.81818182,1.2203186,6,6,2,53.16666667,4,164.83,1,164.83,300866.8,1
GAS,gas,N,-1.470588235,1.051270346,3.380952381,1.283596139,4.384615385,1.981452459,3,3,1,31.5,5,2232.83,2,2227.5,40485,1
GAST,gast,N,1.411764706,1.183667824,2.277777778,0.669113158,4.807692308,1.766787611,4,4,1,148.6666667,6,237.5,1,190.33,100473.3333,1
GATTE,gatte,N,0.7,1.21828179,3.047619048,1.244033379,3.81818182,1.65144565,5,4,2,5.666666667,5,13.67,1,6.83,102202,1
GAUNER,gauner,N,-1.35,1.26802789,3.6,0.820782682,4,1.38013112,6,5,2,0.5,0,0,0,0,462537.6,1
GEBEIN,gebein,N,-1.15,0.8127277,2.722222222,1.074055292,3.90909091,1.68774549,6,5,2,2.833333333,1,15.5,1,15.5,387256.2,2
GEBET,gebet,N,0.75,1.51744245,2.714285714,1.146423008,3.54545455,1.65406491,5,5,2,10.5,4,1730.5,2,1730,204615,2
GEBIET,gebiet,N,0.1,0.78806893,2.315789474,0.820069887,2.95454545,1.32655202,6,5,2,298.3333333,0,0,0,0,156537.4,2
GEBOT,gebot,N,0.2,1.32188064,2.777777778,1.114374293,2.27272727,1.2792043,5,5,2,15,1,10.5,0,0,99576.5,2
GEBURT,geburt,N,1.9,0.91190951,4.176470588,0.882843001,4.5,1.76608256,6,6,2,24.5,0,0,0,0,105310.8,2
GEBURTSTAG,geburtstag,N,1.911764706,1.190050853,3.142857143,1.508354161,5.076923077,1.764609349,10,9,3,72.66666667,0,0,0,0,104818.4444,2
GEDANKE,gedanke,N,1.5,1.08012345,2.611111111,1.289728147,1.777777778,0.833333333,7,7,3,161.5,1,0,0,0,132985.8333,2
GEDENKEN,gedenken,V,0.588235294,1.281988206,2.736842105,1.240165995,3,1.811077028,8,8,3,59.33333333,1,72.67,1,72.67,495327.2857,2
GEDICHT,gedicht,N,0.7,0.674948558,2.947368421,0.911267994,4.222222222,1.301708279,7,6,2,44.5,3,355.67,3,355.67,271123.8333,2
GEDULD,geduld,N,2,0.816496581,1.823529412,0.882843001,3,1.414213562,6,6,2,18.83333333,0,0,0,0,87566,2
GEFAHR,gefahr,N,-1.8,0.61558701,4.380952381,0.669043382,2.90909091,1.37699088,6,5,2,178.1666667,1,2,0,0,108427.8,2
GEFÄHRDEN,gefährden,V,-1.647058824,0.94971616,3.9,1.184672223,2.807692308,1.600480697,9,8,3,46.33333333,0,0,0,0,418613.6667,2
GEFALLEN,gefallen,V,1.529411765,1.051270346,2.392857143,1.030615987,3,1.766352173,8,7,3,67.66666667,1,6.67,0,0,266080.1429,2
GEFÄNGNIS,gefängnis,N,-2.264705882,0.790428481,3.052631579,1.393384537,6.576923077,0.757526339,9,8,3,52.66666667,0,0,0,0,132583,2
GEFÜHL,gefühl,N,2.205882353,0.844928247,3.111111111,1.409584373,3.346153846,1.787563877,6,5,2,97.16666667,1,0.5,0,0,129110,2
GEGEND,gegend,N,0.3,0.948683298,1.944444444,0.872604096,3.777777778,1.787300882,6,6,2,39.83333333,0,0,0,0,410361.6,1
GEGENSATZ,gegensatz,N,0.029411765,0.869876136,3.066666667,0.980265036,2.653846154,1.623386773,9,8,3,85.66666667,0,0,0,0,248650.5,1
GEGENTEIL,gegenteil,N,-0.029411765,1.058452104,2.761904762,0.94365046,2.307692308,1.715091386,9,8,3,50.16666667,0,0,0,0,348931.375,1
GEGNER,gegner,N,-1.4,1.0749677,3.619047619,0.804747816,4.444444444,1.424000624,6,6,2,93,1,0,0,0,412278.2,1
GEHALT,gehalt,N,1.1,0.875595036,2.777777778,1.003262651,3.888888889,1.536590743,6,6,2,37.83333333,1,125.67,1,125.67,152346,2
GEHEIM,geheim,A,-0.6,0.52,3.157894737,1.25888654,2.67,1.22,6,5,2,25,1,10,0,0,257550.4,2
GEHEIMNIS,geheimnis,N,1.117647059,1.273618226,3.80952381,0.601585208,3.269230769,1.778936588,9,8,3,37.16666667,0,0,0,0,193991.25,2
GEHEN,gehen,V,0.411764706,0.988345635,2.315789474,1.204280863,5.307692308,1.783686761,5,4,2,1221.666667,7,4302,2,3120.33,417109.25,1
GEHEUL,geheul,N,-1.6,0.75393703,3.7,0.923380517,3.45454545,1.53459387,6,5,2,1,0,0,0,0,141740,2
GEHIRN,gehirn,N,1.5,1.178511302,3.277777778,1.274434387,6.222222222,0.833333333,6,6,2,9.166666667,1,0,0,0,111012.4,2
GEHÖREN,gehören,V,0.058823529,1.369387752,2.210526316,0.787326515,2.230769231,1.504863909,7,7,3,283.3333333,0,0,0,0,419613.75,2
GEIER,geier,N,-0.5,1.19207912,3.176470588,1.074435556,5.59090909,1.33306274,5,4,2,3.333333333,6,16.83,1,10.83,679840.25,1
GEIGE,geige,N,1.5,1.14,2.59,1.33,6.45,0.86,5,4,2,2.67,4,6.5,1,2.83,339569.75,1
GEISEL,geisel,N,-2.2,1.1050125,4.35,0.812727701,4.36363636,1.73330003,6,5,2,7.333333333,1,1.17,0,0,311415,1
GEIST,geist,N,1.1,1.449137675,2.833333333,1.200490096,4,2.179449472,5,4,1,114,4,41,0,0,328060.5,1
GEIZ,geiz,N,-1.6,0.966091783,3.611111111,0.916443823,2.888888889,1.452966315,4,3,1,1,3,13.83,1,13.17,315714,1
GEJAMMER,gejammer,N,-1.7,0.823272602,3.222222222,0.808452083,4.444444444,1.333333333,8,7,3,0.5,0,0,0,0,294435.8571,2
